# num high symmetry points
16
# label high symmetry points
G X S Y G Z U R T Z Y T U X S R 
# indices high symmetry points
1 34 58 91 115 124 157 181 214 238 239 248 249 258 259 268 
# nk, nb, ns
268 28 1
# k-points (frac coords)
+0.0000000e+00 +0.0000000e+00 +0.0000000e+00 
+1.5151515e-02 +0.0000000e+00 +0.0000000e+00 
+3.0303030e-02 +0.0000000e+00 +0.0000000e+00 
+4.5454545e-02 +0.0000000e+00 +0.0000000e+00 
+6.0606061e-02 +0.0000000e+00 +0.0000000e+00 
+7.5757576e-02 +0.0000000e+00 +0.0000000e+00 
+9.0909091e-02 +0.0000000e+00 +0.0000000e+00 
+1.0606061e-01 +0.0000000e+00 +0.0000000e+00 
+1.2121212e-01 +0.0000000e+00 +0.0000000e+00 
+1.3636364e-01 +0.0000000e+00 +0.0000000e+00 
+1.5151515e-01 +0.0000000e+00 +0.0000000e+00 
+1.6666667e-01 +0.0000000e+00 +0.0000000e+00 
+1.8181818e-01 +0.0000000e+00 +0.0000000e+00 
+1.9696970e-01 +0.0000000e+00 +0.0000000e+00 
+2.1212121e-01 +0.0000000e+00 +0.0000000e+00 
+2.2727273e-01 +0.0000000e+00 +0.0000000e+00 
+2.4242424e-01 +0.0000000e+00 +0.0000000e+00 
+2.5757576e-01 +0.0000000e+00 +0.0000000e+00 
+2.7272727e-01 +0.0000000e+00 +0.0000000e+00 
+2.8787879e-01 +0.0000000e+00 +0.0000000e+00 
+3.0303030e-01 +0.0000000e+00 +0.0000000e+00 
+3.1818182e-01 +0.0000000e+00 +0.0000000e+00 
+3.3333333e-01 +0.0000000e+00 +0.0000000e+00 
+3.4848485e-01 +0.0000000e+00 +0.0000000e+00 
+3.6363636e-01 +0.0000000e+00 +0.0000000e+00 
+3.7878788e-01 +0.0000000e+00 +0.0000000e+00 
+3.9393939e-01 +0.0000000e+00 +0.0000000e+00 
+4.0909091e-01 +0.0000000e+00 +0.0000000e+00 
+4.2424242e-01 +0.0000000e+00 +0.0000000e+00 
+4.3939394e-01 +0.0000000e+00 +0.0000000e+00 
+4.5454545e-01 +0.0000000e+00 +0.0000000e+00 
