# num high symmetry points
18
# label high symmetry points
G Y H C E M1 A X G Z D M Z A D Y X H1 
# indices high symmetry points
1 27 46 58 83 95 111 136 164 189 215 234 235 263 264 289 290 306 
# nk, nb, ns
306 20 1
# k-points (frac coords)
+0.0000000e+00 +0.0000000e+00 +0.0000000e+00 
-1.9230769e-02 -1.0675221e-18 +0.0000000e+00 
-3.8461538e-02 -2.1350443e-18 +0.0000000e+00 
-5.7692308e-02 -3.2025664e-18 +0.0000000e+00 
-7.6923077e-02 -4.2700886e-18 +0.0000000e+00 
-9.6153846e-02 -5.3376107e-18 +0.0000000e+00 
-1.1538462e-01 -6.4051328e-18 +0.0000000e+00 
-1.3461538e-01 -7.4726550e-18 +0.0000000e+00 
-1.5384615e-01 -8.5401771e-18 +0.0000000e+00 
-1.7307692e-01 -9.6076993e-18 +0.0000000e+00 
-1.9230769e-01 -1.0675221e-17 +0.0000000e+00 
-2.1153846e-01 -1.1742744e-17 +0.0000000e+00 
-2.3076923e-01 -1.2810266e-17 +0.0000000e+00 
-2.5000000e-01 -1.3877788e-17 +0.0000000e+00 
-2.6923077e-01 -1.4945310e-17 +0.0000000e+00 
-2.8846154e-01 -1.6012832e-17 +0.0000000e+00 
-3.0769231e-01 -1.7080354e-17 +0.0000000e+00 
-3.2692308e-01 -1.8147876e-17 +0.0000000e+00 
-3.4615385e-01 -1.9215399e-17 +0.0000000e+00 
-3.6538462e-01 -2.0282921e-17 +0.0000000e+00 
-3.8461538e-01 -2.1350443e-17 +0.0000000e+00 
-4.0384615e-01 -2.2417965e-17 +0.0000000e+00 
-4.2307692e-01 -2.3485487e-17 +0.0000000e+00 
-4.4230769e-01 -2.4553009e-17 +0.0000000e+00 
-4.6153846e-01 -2.5620531e-17 +0.0000000e+00 
-4.8076923e-01 -2.6688053e-17 +0.0000000e+00 
-5.0000000e-01 -2.7755576e-17 +0.0000000e+00 
-5.0831936e-01 +1.9670026e-02 +0.0000000e+00 
-5.1663872e-01 +3.9340052e-02 +0.0000000e+00 
-5.2495808e-01 +5.9010078e-02 +0.0000000e+00 
-5.3327744e-01 +7.8680103e-02 +0.0000000e+00 
-5.4159680e-01 +9.8350129e-02 +0.0000000e+00 
-5.4991615e-01 +1.1802016e-01 +0.0000000e+00 
-5.5823551e-01 +1.3769018e-01 +0.0000000e+00 
-5.6655487e-01 +1.5736021e-01 +0.0000000e+00 
-5.7487423e-01 +1.7703023e-01 +0.0000000e+00 
-5.8319359e-01 +1.9670026e-01 +0.0000000e+00 
-5.9151295e-01 +2.1637028e-01 +0.0000000e+00 
-5.9983231e-01 +2.3604031e-01 +0.0000000e+00 
-6.0815167e-01 +2.5571034e-01 +0.0000000e+00 
-6.1647103e-01 +2.7538036e-01 +0.0000000e+00 
-6.2479039e-01 +2.9505039e-01 +0.0000000e+00 
-6.3310974e-01 +3.1472041e-01 +0.0000000e+00 
-6.4142910e-01 +3.3439044e-01 +0.0000000e+00 
-6.4974846e-01 +3.5406047e-01 +0.0000000e+00 
-6.5806782e-01 +3.7373049e-01 +0.0000000e+00 
-6.4489550e-01 +3.8425295e-01 +0.0000000e+00 
-6.3172318e-01 +3.9477541e-01 +0.0000000e+00 
-6.1855087e-01 +4.0529787e-01 +0.0000000e+00 
-6.0537855e-01 +4.1582033e-01 +0.0000000e+00 
-5.9220623e-01 +4.2634279e-01 +0.0000000e+00 
-5.7903391e-01 +4.3686525e-01 +0.0000000e+00 
-5.6586159e-01 +4.4738770e-01 +0.0000000e+00 
-5.5268927e-01 +4.5791016e-01 +0.0000000e+00 
-5.3951696e-01 +4.6843262e-01 +0.0000000e+00 
-5.2634464e-01 +4.7895508e-01 +0.0000000e+00 
-5.1317232e-01 +4.8947754e-01 +0.0000000e+00 
-5.0000000e-01 +5.0000000e-01 +0.0000000e+00 
-5.0000000e-01 +5.0000000e-01 +2.0000000e-02 
-5.0000000e-01 +5.0000000e-01 +4.0000000e-02 
-5.0000000e-01 +5.0000000e-01 +6.0000000e-02 
-5.0000000e-01 +5.0000000e-01 +8.0000000e-02 
-5.0000000e-01 +5.0000000e-01 +1.0000000e-01 
-5.0000000e-01 +5.0000000e-01 +1.2000000e-01 
-5.0000000e-01 +5.0000000e-01 +1.4000000e-01 
-5.0000000e-01 +5.0000000e-01 +1.6000000e-01 
-5.0000000e-01 +5.0000000e-01 +1.8000000e-01 
-5.0000000e-01 +5.0000000e-01 +2.0000000e-01 
-5.0000000e-01 +5.0000000e-01 +2.2000000e-01 
-5.0000000e-01 +5.0000000e-01 +2.4000000e-01 
-5.0000000e-01 +5.0000000e-01 +2.6000000e-01 
-5.0000000e-01 +5.0000000e-01 +2.8000000e-01 
-5.0000000e-01 +5.0000000e-01 +3.0000000e-01 
-5.0000000e-01 +5.0000000e-01 +3.2000000e-01 
-5.0000000e-01 +5.0000000e-01 +3.4000000e-01 
-5.0000000e-01 +5.0000000e-01 +3.6000000e-01 
-5.0000000e-01 +5.0000000e-01 +3.8000000e-01 
-5.0000000e-01 +5.0000000e-01 +4.0000000e-01 
-5.0000000e-01 +5.0000000e-01 +4.2000000e-01 
-5.0000000e-01 +5.0000000e-01 +4.4000000e-01 
-5.0000000e-01 +5.0000000e-01 +4.6000000e-01 
-5.0000000e-01 +5.0000000e-01 +4.8000000e-01 
-5.0000000e-01 +5.0000000e-01 +5.0000000e-01 
-4.8682768e-01 +5.1052246e-01 +5.0000000e-01 
-4.7365536e-01 +5.2104492e-01 +5.0000000e-01 
-4.6048304e-01 +5.3156738e-01 +5.0000000e-01 
-4.4731073e-01 +5.4208984e-01 +5.0000000e-01 
-4.3413841e-01 +5.5261230e-01 +5.0000000e-01 
-4.2096609e-01 +5.6313475e-01 +5.0000000e-01 
-4.0779377e-01 +5.7365721e-01 +5.0000000e-01 
-3.9462145e-01 +5.8417967e-01 +5.0000000e-01 
-3.8144913e-01 +5.9470213e-01 +5.0000000e-01 
-3.6827682e-01 +6.0522459e-01 +5.0000000e-01 
-3.5510450e-01 +6.1574705e-01 +5.0000000e-01 
-3.4193218e-01 +6.2626951e-01 +5.0000000e-01 
-3.2056142e-01 +6.1837766e-01 +5.0000000e-01 
-2.9919066e-01 +6.1048582e-01 +5.0000000e-01 
-2.7781990e-01 +6.0259398e-01 +5.0000000e-01 
-2.5644913e-01 +5.9470213e-01 +5.0000000e-01 
-2.3507837e-01 +5.8681029e-01 +5.0000000e-01 
-2.1370761e-01 +5.7891844e-01 +5.0000000e-01 
-1.9233685e-01 +5.7102660e-01 +5.0000000e-01 
-1.7096609e-01 +5.6313475e-01 +5.0000000e-01 
-1.4959533e-01 +5.5524291e-01 +5.0000000e-01 
-1.2822457e-01 +5.4735107e-01 +5.0000000e-01 
-1.0685381e-01 +5.3945922e-01 +5.0000000e-01 
-8.5483045e-02 +5.3156738e-01 +5.0000000e-01 
-6.4112284e-02 +5.2367553e-01 +5.0000000e-01 
-4.2741522e-02 +5.1578369e-01 +5.0000000e-01 
-2.1370761e-02 +5.0789184e-01 +5.0000000e-01 
+0.0000000e+00 +5.0000000e-01 +5.0000000e-01 
+0.0000000e+00 +5.0000000e-01 +4.8000000e-01 
+0.0000000e+00 +5.0000000e-01 +4.6000000e-01 
+0.0000000e+00 +5.0000000e-01 +4.4000000e-01 
+0.0000000e+00 +5.0000000e-01 +4.2000000e-01 
+0.0000000e+00 +5.0000000e-01 +4.0000000e-01 
+0.0000000e+00 +5.0000000e-01 +3.8000000e-01 
+0.0000000e+00 +5.0000000e-01 +3.6000000e-01 
+0.0000000e+00 +5.0000000e-01 +3.4000000e-01 
+0.0000000e+00 +5.0000000e-01 +3.2000000e-01 
+0.0000000e+00 +5.0000000e-01 +3.0000000e-01 
+0.0000000e+00 +5.0000000e-01 +2.8000000e-01 
+0.0000000e+00 +5.0000000e-01 +2.6000000e-01 
+0.0000000e+00 +5.0000000e-01 +2.4000000e-01 
+0.0000000e+00 +5.0000000e-01 +2.2000000e-01 
+0.0000000e+00 +5.0000000e-01 +2.0000000e-01 
+0.0000000e+00 +5.0000000e-01 +1.8000000e-01 
+0.0000000e+00 +5.0000000e-01 +1.6000000e-01 
+0.0000000e+00 +5.0000000e-01 +1.4000000e-01 
+0.0000000e+00 +5.0000000e-01 +1.2000000e-01 
+0.0000000e+00 +5.0000000e-01 +1.0000000e-01 
+0.0000000e+00 +5.0000000e-01 +8.0000000e-02 
+0.0000000e+00 +5.0000000e-01 +6.0000000e-02 
+0.0000000e+00 +5.0000000e-01 +4.0000000e-02 
+0.0000000e+00 +5.0000000e-01 +2.0000000e-02 
+0.0000000e+00 +5.0000000e-01 +0.0000000e+00 
+0.0000000e+00 +4.8214286e-01 +0.0000000e+00 
+0.0000000e+00 +4.6428571e-01 +0.0000000e+00 
+0.0000000e+00 +4.4642857e-01 +0.0000000e+00 
+0.0000000e+00 +4.2857143e-01 +0.0000000e+00 
+0.0000000e+00 +4.1071429e-01 +0.0000000e+00 
+0.0000000e+00 +3.9285714e-01 +0.0000000e+00 
+0.0000000e+00 +3.7500000e-01 +0.0000000e+00 
+0.0000000e+00 +3.5714286e-01 +0.0000000e+00 
+0.0000000e+00 +3.3928571e-01 +0.0000000e+00 
+0.0000000e+00 +3.2142857e-01 +0.0000000e+00 
+0.0000000e+00 +3.0357143e-01 +0.0000000e+00 
+0.0000000e+00 +2.8571429e-01 +0.0000000e+00 
+0.0000000e+00 +2.6785714e-01 +0.0000000e+00 
+0.0000000e+00 +2.5000000e-01 +0.0000000e+00 
+0.0000000e+00 +2.3214286e-01 +0.0000000e+00 
+0.0000000e+00 +2.1428571e-01 +0.0000000e+00 
+0.0000000e+00 +1.9642857e-01 +0.0000000e+00 
+0.0000000e+00 +1.7857143e-01 +0.0000000e+00 
+0.0000000e+00 +1.6071429e-01 +0.0000000e+00 
+0.0000000e+00 +1.4285714e-01 +0.0000000e+00 
+0.0000000e+00 +1.2500000e-01 +0.0000000e+00 
+0.0000000e+00 +1.0714286e-01 +0.0000000e+00 
+0.0000000e+00 +8.9285714e-02 +0.0000000e+00 
+0.0000000e+00 +7.1428571e-02 +0.0000000e+00 
+0.0000000e+00 +5.3571429e-02 +0.0000000e+00 
+0.0000000e+00 +3.5714286e-02 +0.0000000e+00 
+0.0000000e+00 +1.7857143e-02 +0.0000000e+00 
+0.0000000e+00 +0.0000000e+00 +0.0000000e+00 
+0.0000000e+00 +0.0000000e+00 +2.0000000e-02 
+0.0000000e+00 +0.0000000e+00 +4.0000000e-02 
+0.0000000e+00 +0.0000000e+00 +6.0000000e-02 
+0.0000000e+00 +0.0000000e+00 +8.0000000e-02 
+0.0000000e+00 +0.0000000e+00 +1.0000000e-01 
+0.0000000e+00 +0.0000000e+00 +1.2000000e-01 
+0.0000000e+00 +0.0000000e+00 +1.4000000e-01 
+0.0000000e+00 +0.0000000e+00 +1.6000000e-01 
+0.0000000e+00 +0.0000000e+00 +1.8000000e-01 
+0.0000000e+00 +0.0000000e+00 +2.0000000e-01 
+0.0000000e+00 +0.0000000e+00 +2.2000000e-01 
+0.0000000e+00 +0.0000000e+00 +2.4000000e-01 
+0.0000000e+00 +0.0000000e+00 +2.6000000e-01 
+0.0000000e+00 +0.0000000e+00 +2.8000000e-01 
+0.0000000e+00 +0.0000000e+00 +3.0000000e-01 
+0.0000000e+00 +0.0000000e+00 +3.2000000e-01 
+0.0000000e+00 +0.0000000e+00 +3.4000000e-01 
+0.0000000e+00 +0.0000000e+00 +3.6000000e-01 
+0.0000000e+00 +0.0000000e+00 +3.8000000e-01 
+0.0000000e+00 +0.0000000e+00 +4.0000000e-01 
+0.0000000e+00 +0.0000000e+00 +4.2000000e-01 
+0.0000000e+00 +0.0000000e+00 +4.4000000e-01 
+0.0000000e+00 +0.0000000e+00 +4.6000000e-01 
+0.0000000e+00 +0.0000000e+00 +4.8000000e-01 
+0.0000000e+00 +0.0000000e+00 +5.0000000e-01 
-1.9230769e-02 -1.0675221e-18 +5.0000000e-01 
-3.8461538e-02 -2.1350443e-18 +5.0000000e-01 
-5.7692308e-02 -3.2025664e-18 +5.0000000e-01 
-7.6923077e-02 -4.2700886e-18 +5.0000000e-01 
-9.6153846e-02 -5.3376107e-18 +5.0000000e-01 
-1.1538462e-01 -6.4051328e-18 +5.0000000e-01 
-1.3461538e-01 -7.4726550e-18 +5.0000000e-01 
-1.5384615e-01 -8.5401771e-18 +5.0000000e-01 
-1.7307692e-01 -9.6076993e-18 +5.0000000e-01 
-1.9230769e-01 -1.0675221e-17 +5.0000000e-01 
-2.1153846e-01 -1.1742744e-17 +5.0000000e-01 
-2.3076923e-01 -1.2810266e-17 +5.0000000e-01 
-2.5000000e-01 -1.3877788e-17 +5.0000000e-01 
-2.6923077e-01 -1.4945310e-17 +5.0000000e-01 
-2.8846154e-01 -1.6012832e-17 +5.0000000e-01 
-3.0769231e-01 -1.7080354e-17 +5.0000000e-01 
-3.2692308e-01 -1.8147876e-17 +5.0000000e-01 
-3.4615385e-01 -1.9215399e-17 +5.0000000e-01 
-3.6538462e-01 -2.0282921e-17 +5.0000000e-01 
-3.8461538e-01 -2.1350443e-17 +5.0000000e-01 
-4.0384615e-01 -2.2417965e-17 +5.0000000e-01 
-4.2307692e-01 -2.3485487e-17 +5.0000000e-01 
-4.4230769e-01 -2.4553009e-17 +5.0000000e-01 
-4.6153846e-01 -2.5620531e-17 +5.0000000e-01 
-4.8076923e-01 -2.6688053e-17 +5.0000000e-01 
-5.0000000e-01 -2.7755576e-17 +5.0000000e-01 
-5.0831936e-01 +1.9670026e-02 +5.0000000e-01 
-5.1663872e-01 +3.9340052e-02 +5.0000000e-01 
-5.2495808e-01 +5.9010078e-02 +5.0000000e-01 
-5.3327744e-01 +7.8680103e-02 +5.0000000e-01 
-5.4159680e-01 +9.8350129e-02 +5.0000000e-01 
-5.4991615e-01 +1.1802016e-01 +5.0000000e-01 
-5.5823551e-01 +1.3769018e-01 +5.0000000e-01 
-5.6655487e-01 +1.5736021e-01 +5.0000000e-01 
-5.7487423e-01 +1.7703023e-01 +5.0000000e-01 
-5.8319359e-01 +1.9670026e-01 +5.0000000e-01 
-5.9151295e-01 +2.1637028e-01 +5.0000000e-01 
-5.9983231e-01 +2.3604031e-01 +5.0000000e-01 
-6.0815167e-01 +2.5571034e-01 +5.0000000e-01 
-6.1647103e-01 +2.7538036e-01 +5.0000000e-01 
-6.2479039e-01 +2.9505039e-01 +5.0000000e-01 
-6.3310974e-01 +3.1472041e-01 +5.0000000e-01 
-6.4142910e-01 +3.3439044e-01 +5.0000000e-01 
-6.4974846e-01 +3.5406047e-01 +5.0000000e-01 
-6.5806782e-01 +3.7373049e-01 +5.0000000e-01 
+0.0000000e+00 +0.0000000e+00 +5.0000000e-01 
+0.0000000e+00 +1.7857143e-02 +5.0000000e-01 
+0.0000000e+00 +3.5714286e-02 +5.0000000e-01 
+0.0000000e+00 +5.3571429e-02 +5.0000000e-01 
+0.0000000e+00 +7.1428571e-02 +5.0000000e-01 
+0.0000000e+00 +8.9285714e-02 +5.0000000e-01 
+0.0000000e+00 +1.0714286e-01 +5.0000000e-01 
+0.0000000e+00 +1.2500000e-01 +5.0000000e-01 
+0.0000000e+00 +1.4285714e-01 +5.0000000e-01 
+0.0000000e+00 +1.6071429e-01 +5.0000000e-01 
+0.0000000e+00 +1.7857143e-01 +5.0000000e-01 
+0.0000000e+00 +1.9642857e-01 +5.0000000e-01 
+0.0000000e+00 +2.1428571e-01 +5.0000000e-01 
+0.0000000e+00 +2.3214286e-01 +5.0000000e-01 
+0.0000000e+00 +2.5000000e-01 +5.0000000e-01 
+0.0000000e+00 +2.6785714e-01 +5.0000000e-01 
+0.0000000e+00 +2.8571429e-01 +5.0000000e-01 
+0.0000000e+00 +3.0357143e-01 +5.0000000e-01 
+0.0000000e+00 +3.2142857e-01 +5.0000000e-01 
+0.0000000e+00 +3.3928571e-01 +5.0000000e-01 
+0.0000000e+00 +3.5714286e-01 +5.0000000e-01 
+0.0000000e+00 +3.7500000e-01 +5.0000000e-01 
+0.0000000e+00 +3.9285714e-01 +5.0000000e-01 
+0.0000000e+00 +4.1071429e-01 +5.0000000e-01 
+0.0000000e+00 +4.2857143e-01 +5.0000000e-01 
+0.0000000e+00 +4.4642857e-01 +5.0000000e-01 
+0.0000000e+00 +4.6428571e-01 +5.0000000e-01 
+0.0000000e+00 +4.8214286e-01 +5.0000000e-01 
+0.0000000e+00 +5.0000000e-01 +5.0000000e-01 
-5.0000000e-01 -2.7755576e-17 +5.0000000e-01 
-5.0000000e-01 -2.7755576e-17 +4.8000000e-01 
-5.0000000e-01 -2.7755576e-17 +4.6000000e-01 
-5.0000000e-01 -2.7755576e-17 +4.4000000e-01 
-5.0000000e-01 -2.7755576e-17 +4.2000000e-01 
-5.0000000e-01 -2.7755576e-17 +4.0000000e-01 
-5.0000000e-01 -2.7755576e-17 +3.8000000e-01 
-5.0000000e-01 -2.7755576e-17 +3.6000000e-01 
-5.0000000e-01 -2.7755576e-17 +3.4000000e-01 
-5.0000000e-01 -2.7755576e-17 +3.2000000e-01 
-5.0000000e-01 -2.7755576e-17 +3.0000000e-01 
-5.0000000e-01 -2.7755576e-17 +2.8000000e-01 
-5.0000000e-01 -2.7755576e-17 +2.6000000e-01 
-5.0000000e-01 -2.7755576e-17 +2.4000000e-01 
-5.0000000e-01 -2.7755576e-17 +2.2000000e-01 
-5.0000000e-01 -2.7755576e-17 +2.0000000e-01 
-5.0000000e-01 -2.7755576e-17 +1.8000000e-01 
-5.0000000e-01 -2.7755576e-17 +1.6000000e-01 
-5.0000000e-01 -2.7755576e-17 +1.4000000e-01 
-5.0000000e-01 -2.7755576e-17 +1.2000000e-01 
-5.0000000e-01 -2.7755576e-17 +1.0000000e-01 
-5.0000000e-01 -2.7755576e-17 +8.0000000e-02 
-5.0000000e-01 -2.7755576e-17 +6.0000000e-02 
-5.0000000e-01 -2.7755576e-17 +4.0000000e-02 
-5.0000000e-01 -2.7755576e-17 +2.0000000e-02 
-5.0000000e-01 -2.7755576e-17 +0.0000000e+00 
+0.0000000e+00 +5.0000000e-01 +0.0000000e+00 
-2.1370761e-02 +5.0789184e-01 +0.0000000e+00 
-4.2741522e-02 +5.1578369e-01 +0.0000000e+00 
-6.4112284e-02 +5.2367553e-01 +0.0000000e+00 
-8.5483045e-02 +5.3156738e-01 +0.0000000e+00 
-1.0685381e-01 +5.3945922e-01 +0.0000000e+00 
-1.2822457e-01 +5.4735107e-01 +0.0000000e+00 
-1.4959533e-01 +5.5524291e-01 +0.0000000e+00 
-1.7096609e-01 +5.6313475e-01 +0.0000000e+00 
-1.9233685e-01 +5.7102660e-01 +0.0000000e+00 
-2.1370761e-01 +5.7891844e-01 +0.0000000e+00 
-2.3507837e-01 +5.8681029e-01 +0.0000000e+00 
-2.5644913e-01 +5.9470213e-01 +0.0000000e+00 
-2.7781990e-01 +6.0259398e-01 +0.0000000e+00 
-2.9919066e-01 +6.1048582e-01 +0.0000000e+00 
-3.2056142e-01 +6.1837766e-01 +0.0000000e+00 
-3.4193218e-01 +6.2626951e-01 +0.0000000e+00 
# energies (kpt,band,spin)
# spin = 1
-2.6183543e+01 -2.5964517e+01 -1.4025483e+01 -1.3730788e+01 -7.5811445e+00 -7.0131253e+00 -6.9486942e+00 -6.9293435e+00 -6.0263761e+00 -6.0254552e+00 -4.5391814e-01 -2.3565801e-01 +3.7244318e-01 +3.7549388e-01 +6.5337105e+00 +9.4609872e+00 +9.9347195e+00 +1.0207753e+01 +1.1358676e+01 +1.4085631e+01 
-2.6183510e+01 -2.5964515e+01 -1.4026154e+01 -1.3730832e+01 -7.5794806e+00 -7.0128941e+00 -6.9495393e+00 -6.9286062e+00 -6.0264599e+00 -6.0255457e+00 -4.5317720e-01 -2.3652169e-01 +3.7272406e-01 +3.7575382e-01 +6.5321380e+00 +9.4548924e+00 +9.9259376e+00 +1.0216806e+01 +1.1347229e+01 +1.4116322e+01 
-2.6183412e+01 -2.5964508e+01 -1.4028154e+01 -1.3730964e+01 -7.5745122e+00 -7.0122033e+00 -6.9517601e+00 -6.9267072e+00 -6.0267099e+00 -6.0258157e+00 -4.5096438e-01 -2.3909954e-01 +3.7356266e-01 +3.7652989e-01 +6.5274480e+00 +9.4376881e+00 +9.8992093e+00 +1.0242761e+01 +1.1315832e+01 +1.4205799e+01 
-2.6183249e+01 -2.5964496e+01 -1.4031450e+01 -1.3731182e+01 -7.5663098e+00 -7.0110626e+00 -6.9548037e+00 -6.9241950e+00 -6.0271224e+00 -6.0262615e+00 -4.4730937e-01 -2.4335219e-01 +3.7494696e-01 +3.7781083e-01 +6.5197217e+00 +9.4120645e+00 +9.8536112e+00 +1.0282558e+01 +1.1271989e+01 +1.4347381e+01 
