# num high symmetry points
12
# label high symmetry points
G M K G A L H A L M K H 
# indices high symmetry points
1 43 67 115 134 176 200 248 249 268 269 288 
# nk, nb, ns
288 28 1
# k-points (frac coords)
+0.0000000e+00 +0.0000000e+00 +0.0000000e+00 
+1.1904762e-02 +0.0000000e+00 +0.0000000e+00 
+2.3809524e-02 +0.0000000e+00 +0.0000000e+00 
+3.5714286e-02 +0.0000000e+00 +0.0000000e+00 
+4.7619048e-02 +0.0000000e+00 +0.0000000e+00 
+5.9523810e-02 +0.0000000e+00 +0.0000000e+00 
+7.1428571e-02 +0.0000000e+00 +0.0000000e+00 
+8.3333333e-02 +0.0000000e+00 +0.0000000e+00 
+9.5238095e-02 +0.0000000e+00 +0.0000000e+00 
+1.0714286e-01 +0.0000000e+00 +0.0000000e+00 
+1.1904762e-01 +0.0000000e+00 +0.0000000e+00 
+1.3095238e-01 +0.0000000e+00 +0.0000000e+00 
+1.4285714e-01 +0.0000000e+00 +0.0000000e+00 
+1.5476190e-01 +0.0000000e+00 +0.0000000e+00 
+1.6666667e-01 +0.0000000e+00 +0.0000000e+00 
+1.7857143e-01 +0.0000000e+00 +0.0000000e+00 
+1.9047619e-01 +0.0000000e+00 +0.0000000e+00 
+2.0238095e-01 +0.0000000e+00 +0.0000000e+00 
+2.1428571e-01 +0.0000000e+00 +0.0000000e+00 
+2.2619048e-01 +0.0000000e+00 +0.0000000e+00 
+2.3809524e-01 +0.0000000e+00 +0.0000000e+00 
+2.5000000e-01 +0.0000000e+00 +0.0000000e+00 
+2.6190476e-01 +0.0000000e+00 +0.0000000e+00 
+2.7380952e-01 +0.0000000e+00 +0.0000000e+00 
+2.8571429e-01 +0.0000000e+00 +0.0000000e+00 
+2.9761905e-01 +0.0000000e+00 +0.0000000e+00 
+3.0952381e-01 +0.0000000e+00 +0.0000000e+00 
+3.2142857e-01 +0.0000000e+00 +0.0000000e+00 
+3.3333333e-01 +0.0000000e+00 +0.0000000e+00 
+3.4523810e-01 +0.0000000e+00 +0.0000000e+00 
+3.5714286e-01 +0.0000000e+00 +0.0000000e+00 
+3.6904762e-01 +0.0000000e+00 +0.0000000e+00 
+3.8095238e-01 +0.0000000e+00 +0.0000000e+00 
+3.9285714e-01 +0.0000000e+00 +0.0000000e+00 
+4.0476190e-01 +0.0000000e+00 +0.0000000e+00 
+4.1666667e-01 +0.0000000e+00 +0.0000000e+00 
+4.2857143e-01 +0.0000000e+00 +0.0000000e+00 
+4.4047619e-01 +0.0000000e+00 +0.0000000e+00 
+4.5238095e-01 +0.0000000e+00 +0.0000000e+00 
+4.6428571e-01 +0.0000000e+00 +0.0000000e+00 
+4.7619048e-01 +0.0000000e+00 +0.0000000e+00 
+4.8809524e-01 +0.0000000e+00 +0.0000000e+00 
+5.0000000e-01 +0.0000000e+00 +0.0000000e+00 
+4.9305556e-01 -1.3888889e-02 +0.0000000e+00 
+4.8611111e-01 -2.7777778e-02 +0.0000000e+00 
+4.7916667e-01 -4.1666667e-02 +0.0000000e+00 
+4.7222222e-01 -5.5555556e-02 +0.0000000e+00 
+4.6527778e-01 -6.9444444e-02 +0.0000000e+00 
+4.5833333e-01 -8.3333333e-02 +0.0000000e+00 
+4.5138889e-01 -9.7222222e-02 +0.0000000e+00 
+4.4444444e-01 -1.1111111e-01 +0.0000000e+00 
+4.3750000e-01 -1.2500000e-01 +0.0000000e+00 
+4.3055556e-01 -1.3888889e-01 +0.0000000e+00 
+4.2361111e-01 -1.5277778e-01 +0.0000000e+00 
+4.1666667e-01 -1.6666667e-01 +0.0000000e+00 
+4.0972222e-01 -1.8055556e-01 +0.0000000e+00 
+4.0277778e-01 -1.9444444e-01 +0.0000000e+00 
+3.9583333e-01 -2.0833333e-01 +0.0000000e+00 
+3.8888889e-01 -2.2222222e-01 +0.0000000e+00 
+3.8194444e-01 -2.3611111e-01 +0.0000000e+00 
+3.7500000e-01 -2.5000000e-01 +0.0000000e+00 
+3.6805556e-01 -2.6388889e-01 +0.0000000e+00 
+3.6111111e-01 -2.7777778e-01 +0.0000000e+00 
+3.5416667e-01 -2.9166667e-01 +0.0000000e+00 
+3.4722222e-01 -3.0555556e-01 +0.0000000e+00 
+3.4027778e-01 -3.1944444e-01 +0.0000000e+00 
+3.3333333e-01 -3.3333333e-01 +0.0000000e+00 
+3.2638889e-01 -3.2638889e-01 +0.0000000e+00 
+3.1944444e-01 -3.1944444e-01 +0.0000000e+00 
+3.1250000e-01 -3.1250000e-01 +0.0000000e+00 
+3.0555556e-01 -3.0555556e-01 +0.0000000e+00 
+2.9861111e-01 -2.9861111e-01 +0.0000000e+00 
+2.9166667e-01 -2.9166667e-01 +0.0000000e+00 
+2.8472222e-01 -2.8472222e-01 +0.0000000e+00 
+2.7777778e-01 -2.7777778e-01 +0.0000000e+00 
+2.7083333e-01 -2.7083333e-01 +0.0000000e+00 
+2.6388889e-01 -2.6388889e-01 +0.0000000e+00 
+2.5694444e-01 -2.5694444e-01 +0.0000000e+00 
+2.5000000e-01 -2.5000000e-01 +0.0000000e+00 
+2.4305556e-01 -2.4305556e-01 +0.0000000e+00 
+2.3611111e-01 -2.3611111e-01 +0.0000000e+00 
+2.2916667e-01 -2.2916667e-01 +0.0000000e+00 
+2.2222222e-01 -2.2222222e-01 +0.0000000e+00 
+2.1527778e-01 -2.1527778e-01 +0.0000000e+00 
+2.0833333e-01 -2.0833333e-01 +0.0000000e+00 
+2.0138889e-01 -2.0138889e-01 +0.0000000e+00 
+1.9444444e-01 -1.9444444e-01 +0.0000000e+00 
+1.8750000e-01 -1.8750000e-01 +0.0000000e+00 
+1.8055556e-01 -1.8055556e-01 +0.0000000e+00 
+1.7361111e-01 -1.7361111e-01 +0.0000000e+00 
+1.6666667e-01 -1.6666667e-01 +0.0000000e+00 
+1.5972222e-01 -1.5972222e-01 +0.0000000e+00 
+1.5277778e-01 -1.5277778e-01 +0.0000000e+00 
+1.4583333e-01 -1.4583333e-01 +0.0000000e+00 
+1.3888889e-01 -1.3888889e-01 +0.0000000e+00 
+1.3194444e-01 -1.3194444e-01 +0.0000000e+00 
+1.2500000e-01 -1.2500000e-01 +0.0000000e+00 
+1.1805556e-01 -1.1805556e-01 +0.0000000e+00 
+1.1111111e-01 -1.1111111e-01 +0.0000000e+00 
+1.0416667e-01 -1.0416667e-01 +0.0000000e+00 
+9.7222222e-02 -9.7222222e-02 +0.0000000e+00 
+9.0277778e-02 -9.0277778e-02 +0.0000000e+00 
+8.3333333e-02 -8.3333333e-02 +0.0000000e+00 
+7.6388889e-02 -7.6388889e-02 +0.0000000e+00 
+6.9444444e-02 -6.9444444e-02 +0.0000000e+00 
+6.2500000e-02 -6.2500000e-02 +0.0000000e+00 
+5.5555556e-02 -5.5555556e-02 +0.0000000e+00 
+4.8611111e-02 -4.8611111e-02 +0.0000000e+00 
+4.1666667e-02 -4.1666667e-02 +0.0000000e+00 
+3.4722222e-02 -3.4722222e-02 +0.0000000e+00 
+2.7777778e-02 -2.7777778e-02 +0.0000000e+00 
+2.0833333e-02 -2.0833333e-02 +0.0000000e+00 
+1.3888889e-02 -1.3888889e-02 +0.0000000e+00 
+6.9444444e-03 -6.9444444e-03 +0.0000000e+00 
+0.0000000e+00 +0.0000000e+00 +0.0000000e+00 
+0.0000000e+00 +0.0000000e+00 -2.6315789e-02 
+0.0000000e+00 +0.0000000e+00 -5.2631579e-02 
+0.0000000e+00 +0.0000000e+00 -7.8947368e-02 
+0.0000000e+00 +0.0000000e+00 -1.0526316e-01 
+0.0000000e+00 +0.0000000e+00 -1.3157895e-01 
+0.0000000e+00 +0.0000000e+00 -1.5789474e-01 
+0.0000000e+00 +0.0000000e+00 -1.8421053e-01 
+0.0000000e+00 +0.0000000e+00 -2.1052632e-01 
+0.0000000e+00 +0.0000000e+00 -2.3684211e-01 
+0.0000000e+00 +0.0000000e+00 -2.6315789e-01 
+0.0000000e+00 +0.0000000e+00 -2.8947368e-01 
+0.0000000e+00 +0.0000000e+00 -3.1578947e-01 
+0.0000000e+00 +0.0000000e+00 -3.4210526e-01 
+0.0000000e+00 +0.0000000e+00 -3.6842105e-01 
+0.0000000e+00 +0.0000000e+00 -3.9473684e-01 
+0.0000000e+00 +0.0000000e+00 -4.2105263e-01 
+0.0000000e+00 +0.0000000e+00 -4.4736842e-01 
+0.0000000e+00 +0.0000000e+00 -4.7368421e-01 
+0.0000000e+00 +0.0000000e+00 -5.0000000e-01 
+1.1904762e-02 +0.0000000e+00 -5.0000000e-01 
+2.3809524e-02 +0.0000000e+00 -5.0000000e-01 
+3.5714286e-02 +0.0000000e+00 -5.0000000e-01 
+4.7619048e-02 +0.0000000e+00 -5.0000000e-01 
+5.9523810e-02 +0.0000000e+00 -5.0000000e-01 
+7.1428571e-02 +0.0000000e+00 -5.0000000e-01 
+8.3333333e-02 +0.0000000e+00 -5.0000000e-01 
+9.5238095e-02 +0.0000000e+00 -5.0000000e-01 
+1.0714286e-01 +0.0000000e+00 -5.0000000e-01 
+1.1904762e-01 +0.0000000e+00 -5.0000000e-01 
+1.3095238e-01 +0.0000000e+00 -5.0000000e-01 
+1.4285714e-01 +0.0000000e+00 -5.0000000e-01 
+1.5476190e-01 +0.0000000e+00 -5.0000000e-01 
+1.6666667e-01 +0.0000000e+00 -5.0000000e-01 
+1.7857143e-01 +0.0000000e+00 -5.0000000e-01 
+1.9047619e-01 +0.0000000e+00 -5.0000000e-01 
+2.0238095e-01 +0.0000000e+00 -5.0000000e-01 
+2.1428571e-01 +0.0000000e+00 -5.0000000e-01 
+2.2619048e-01 +0.0000000e+00 -5.0000000e-01 
+2.3809524e-01 +0.0000000e+00 -5.0000000e-01 
+2.5000000e-01 +0.0000000e+00 -5.0000000e-01 
+2.6190476e-01 +0.0000000e+00 -5.0000000e-01 
+2.7380952e-01 +0.0000000e+00 -5.0000000e-01 
+2.8571429e-01 +0.0000000e+00 -5.0000000e-01 
+2.9761905e-01 +0.0000000e+00 -5.0000000e-01 
+3.0952381e-01 +0.0000000e+00 -5.0000000e-01 
+3.2142857e-01 +0.0000000e+00 -5.0000000e-01 
+3.3333333e-01 +0.0000000e+00 -5.0000000e-01 
+3.4523810e-01 +0.0000000e+00 -5.0000000e-01 
+3.5714286e-01 +0.0000000e+00 -5.0000000e-01 
+3.6904762e-01 +0.0000000e+00 -5.0000000e-01 
+3.8095238e-01 +0.0000000e+00 -5.0000000e-01 
+3.9285714e-01 +0.0000000e+00 -5.0000000e-01 
