# num high symmetry points
8
# label high symmetry points
G X M G R X M R 
# indices high symmetry points
1 31 61 104 156 199 200 230 
# nk, nb, ns
230 40 1
# k-points (frac coords)
+0.0000000e+00 +0.0000000e+00 +0.0000000e+00 
+0.0000000e+00 +1.6666667e-02 +0.0000000e+00 
+0.0000000e+00 +3.3333333e-02 +0.0000000e+00 
+0.0000000e+00 +5.0000000e-02 +0.0000000e+00 
+0.0000000e+00 +6.6666667e-02 +0.0000000e+00 
+0.0000000e+00 +8.3333333e-02 +0.0000000e+00 
+0.0000000e+00 +1.0000000e-01 +0.0000000e+00 
+0.0000000e+00 +1.1666667e-01 +0.0000000e+00 
+0.0000000e+00 +1.3333333e-01 +0.0000000e+00 
+0.0000000e+00 +1.5000000e-01 +0.0000000e+00 
+0.0000000e+00 +1.6666667e-01 +0.0000000e+00 
+0.0000000e+00 +1.8333333e-01 +0.0000000e+00 
+0.0000000e+00 +2.0000000e-01 +0.0000000e+00 
+0.0000000e+00 +2.1666667e-01 +0.0000000e+00 
+0.0000000e+00 +2.3333333e-01 +0.0000000e+00 
+0.0000000e+00 +2.5000000e-01 +0.0000000e+00 
+0.0000000e+00 +2.6666667e-01 +0.0000000e+00 
+0.0000000e+00 +2.8333333e-01 +0.0000000e+00 
+0.0000000e+00 +3.0000000e-01 +0.0000000e+00 
+0.0000000e+00 +3.1666667e-01 +0.0000000e+00 
+0.0000000e+00 +3.3333333e-01 +0.0000000e+00 
+0.0000000e+00 +3.5000000e-01 +0.0000000e+00 
+0.0000000e+00 +3.6666667e-01 +0.0000000e+00 
+0.0000000e+00 +3.8333333e-01 +0.0000000e+00 
+0.0000000e+00 +4.0000000e-01 +0.0000000e+00 
+0.0000000e+00 +4.1666667e-01 +0.0000000e+00 
+0.0000000e+00 +4.3333333e-01 +0.0000000e+00 
+0.0000000e+00 +4.5000000e-01 +0.0000000e+00 
+0.0000000e+00 +4.6666667e-01 +0.0000000e+00 
+0.0000000e+00 +4.8333333e-01 +0.0000000e+00 
+0.0000000e+00 +5.0000000e-01 +0.0000000e+00 
+1.6666667e-02 +5.0000000e-01 +0.0000000e+00 
+3.3333333e-02 +5.0000000e-01 +0.0000000e+00 
+5.0000000e-02 +5.0000000e-01 +0.0000000e+00 
+6.6666667e-02 +5.0000000e-01 +0.0000000e+00 
+8.3333333e-02 +5.0000000e-01 +0.0000000e+00 
+1.0000000e-01 +5.0000000e-01 +0.0000000e+00 
+1.1666667e-01 +5.0000000e-01 +0.0000000e+00 
+1.3333333e-01 +5.0000000e-01 +0.0000000e+00 
+1.5000000e-01 +5.0000000e-01 +0.0000000e+00 
+1.6666667e-01 +5.0000000e-01 +0.0000000e+00 
+1.8333333e-01 +5.0000000e-01 +0.0000000e+00 
+2.0000000e-01 +5.0000000e-01 +0.0000000e+00 
+2.1666667e-01 +5.0000000e-01 +0.0000000e+00 
+2.3333333e-01 +5.0000000e-01 +0.0000000e+00 
+2.5000000e-01 +5.0000000e-01 +0.0000000e+00 
+2.6666667e-01 +5.0000000e-01 +0.0000000e+00 
+2.8333333e-01 +5.0000000e-01 +0.0000000e+00 
+3.0000000e-01 +5.0000000e-01 +0.0000000e+00 
+3.1666667e-01 +5.0000000e-01 +0.0000000e+00 
+3.3333333e-01 +5.0000000e-01 +0.0000000e+00 
+3.5000000e-01 +5.0000000e-01 +0.0000000e+00 
+3.6666667e-01 +5.0000000e-01 +0.0000000e+00 
+3.8333333e-01 +5.0000000e-01 +0.0000000e+00 
+4.0000000e-01 +5.0000000e-01 +0.0000000e+00 
+4.1666667e-01 +5.0000000e-01 +0.0000000e+00 
+4.3333333e-01 +5.0000000e-01 +0.0000000e+00 
+4.5000000e-01 +5.0000000e-01 +0.0000000e+00 
+4.6666667e-01 +5.0000000e-01 +0.0000000e+00 
+4.8333333e-01 +5.0000000e-01 +0.0000000e+00 
+5.0000000e-01 +5.0000000e-01 +0.0000000e+00 
+4.8837209e-01 +4.8837209e-01 +0.0000000e+00 
+4.7674419e-01 +4.7674419e-01 +0.0000000e+00 
+4.6511628e-01 +4.6511628e-01 +0.0000000e+00 
+4.5348837e-01 +4.5348837e-01 +0.0000000e+00 
+4.4186047e-01 +4.4186047e-01 +0.0000000e+00 
+4.3023256e-01 +4.3023256e-01 +0.0000000e+00 
+4.1860465e-01 +4.1860465e-01 +0.0000000e+00 
+4.0697674e-01 +4.0697674e-01 +0.0000000e+00 
+3.9534884e-01 +3.9534884e-01 +0.0000000e+00 
+3.8372093e-01 +3.8372093e-01 +0.0000000e+00 
+3.7209302e-01 +3.7209302e-01 +0.0000000e+00 
+3.6046512e-01 +3.6046512e-01 +0.0000000e+00 
+3.4883721e-01 +3.4883721e-01 +0.0000000e+00 
+3.3720930e-01 +3.3720930e-01 +0.0000000e+00 
+3.2558140e-01 +3.2558140e-01 +0.0000000e+00 
+3.1395349e-01 +3.1395349e-01 +0.0000000e+00 
+3.0232558e-01 +3.0232558e-01 +0.0000000e+00 
+2.9069767e-01 +2.9069767e-01 +0.0000000e+00 
+2.7906977e-01 +2.7906977e-01 +0.0000000e+00 
+2.6744186e-01 +2.6744186e-01 +0.0000000e+00 
+2.5581395e-01 +2.5581395e-01 +0.0000000e+00 
+2.4418605e-01 +2.4418605e-01 +0.0000000e+00 
+2.3255814e-01 +2.3255814e-01 +0.0000000e+00 
+2.2093023e-01 +2.2093023e-01 +0.0000000e+00 
+2.0930233e-01 +2.0930233e-01 +0.0000000e+00 
+1.9767442e-01 +1.9767442e-01 +0.0000000e+00 
+1.8604651e-01 +1.8604651e-01 +0.0000000e+00 
+1.7441860e-01 +1.7441860e-01 +0.0000000e+00 
+1.6279070e-01 +1.6279070e-01 +0.0000000e+00 
+1.5116279e-01 +1.5116279e-01 +0.0000000e+00 
+1.3953488e-01 +1.3953488e-01 +0.0000000e+00 
+1.2790698e-01 +1.2790698e-01 +0.0000000e+00 
+1.1627907e-01 +1.1627907e-01 +0.0000000e+00 
+1.0465116e-01 +1.0465116e-01 +0.0000000e+00 
